order_id,customer_id,product_id,order_date,quantity,channel,price,amount
1,3668,95,12-03-2023,1,Mobile App,3849,3849
2,727,316,18-02-2023,1,Web,3575,3575
3,1649,291,02-12-2024,3,Store,1920,5760
4,4313,230,25-04-2022,3,Web,3549,10647
5,1270,191,27-01-2023,3,Mobile App,2546,7638
6,4544,404,11-07-2023,1,Store,1626,1626
7,319,144,17-06-2023,2,Mobile App,2810,5620
8,3476,406,05-12-2022,3,Store,1885,5655
9,2779,164,14-02-2024,3,Mobile App,1490,4470
10,3059,19,24-05-2023,1,Web,326,326
11,4135,386,02-09-2022,2,Web,2862,5724
12,1603,68,25-11-2023,2,Store,4161,8322
13,2257,98,10-05-2022,1,Mobile App,2704,2704
14,830,7,06-02-2022,3,Mobile App,4572,13716
15,856,303,25-05-2024,1,Web,2290,2290
16,2649,177,06-11-2023,2,Store,2364,4728
17,1859,206,27-01-2023,3,Mobile App,3836,11508
18,1103,299,28-01-2023,2,Mobile App,4312,8624
19,2482,288,12-01-2024,2,Web,736,1472
20,1821,401,02-10-2022,2,Mobile App,2939,5878
21,4938,229,05-03-2022,2,Web,4431,8862
22,2080,384,20-01-2024,3,Store,3776,11328
23,3159,119,29-10-2022,3,Mobile App,2145,6435
24,2441,270,17-08-2022,3,Mobile App,3334,10002
25,3685,81,13-04-2024,1,Web,345,345
26,1256,160,10-10-2023,3,Web,4948,14844
27,2958,188,31-03-2023,2,Mobile App,1908,3816
28,3652,188,04-02-2024,2,Web,1908,3816
29,2240,308,21-06-2024,3,Web,4549,13647
30,1940,194,01-09-2024,3,Store,3122,9366
31,270,487,13-02-2024,1,Web,2087,2087
32,4831,260,14-03-2023,3,Mobile App,4588,13764
33,4065,488,01-07-2022,1,Web,1373,1373
34,4980,478,24-01-2022,3,Mobile App,3896,11688
35,3776,478,09-06-2024,1,Mobile App,3896,3896
36,1113,191,18-07-2023,3,Web,2546,7638
37,649,289,02-12-2024,3,Mobile App,4926,14778
38,1180,106,16-04-2022,3,Store,4127,12381
39,2143,129,11-07-2024,1,Store,1871,1871
40,17,97,24-03-2022,2,Mobile App,4975,9950
41,117,484,29-01-2024,1,Store,3607,3607
42,1546,497,27-01-2023,3,Web,2882,8646
43,3152,64,26-09-2022,2,Web,1311,2622
44,2694,128,01-01-2022,1,Web,484,484
45,4090,223,08-04-2024,1,Mobile App,4107,4107
46,1277,293,22-08-2022,2,Web,3219,6438
47,3241,462,04-04-2024,3,Web,2110,6330
48,4943,382,19-05-2022,2,Mobile App,2110,4220
49,3789,326,20-02-2023,3,Store,4301,12903
50,372,391,04-07-2022,2,Web,1721,3442
51,2808,104,06-06-2022,1,Mobile App,4103,4103
52,156,152,12-11-2024,1,Store,3540,3540
53,2662,114,04-09-2023,1,Store,4427,4427
54,465,452,29-02-2024,3,Store,4376,13128
55,4879,55,24-02-2023,3,Web,1546,4638
56,4900,121,27-05-2022,2,Store,1736,3472
57,4316,217,27-02-2024,3,Store,1627,4881
58,1774,123,27-11-2023,3,Store,1670,5010
59,117,3,17-12-2023,2,Web,3353,6706
60,2104,92,23-06-2024,3,Mobile App,1873,5619
61,1375,407,04-02-2023,2,Store,3668,7336
62,3204,164,17-08-2024,3,Mobile App,1490,4470
63,4404,441,20-09-2023,3,Store,1247,3741
64,3547,119,08-05-2022,1,Store,2145,2145
65,3978,432,10-02-2022,3,Web,2869,8607
66,4318,397,05-04-2023,2,Store,1950,3900
67,1197,61,25-04-2022,2,Store,2776,5552
68,3412,214,12-12-2022,1,Mobile App,2197,2197
69,797,473,03-09-2022,2,Web,4752,9504
70,3893,247,29-06-2024,1,Mobile App,3247,3247
71,151,235,12-01-2022,3,Mobile App,1811,5433
72,3250,408,29-08-2022,1,Mobile App,688,688
73,112,427,17-04-2023,3,Mobile App,3939,11817
74,683,357,15-01-2022,2,Web,2189,4378
75,1162,372,25-12-2024,1,Store,2965,2965
76,2380,289,08-08-2024,2,Web,4926,9852
77,4989,78,18-12-2024,2,Store,4950,9900
78,161,24,03-01-2024,2,Store,311,622
79,1426,406,12-09-2024,2,Mobile App,1885,3770
80,3662,308,10-10-2023,2,Store,4549,9098
81,278,499,08-01-2024,1,Web,2574,2574
82,3392,101,25-08-2024,2,Store,4273,8546
83,1557,372,08-08-2023,1,Web,2965,2965
84,4593,251,27-07-2022,1,Web,1145,1145
85,1916,123,27-10-2024,1,Web,1670,1670
86,4751,215,23-02-2022,2,Store,3718,7436
87,3108,262,25-10-2022,2,Mobile App,2930,5860
88,303,403,18-02-2023,1,Web,4781,4781
89,4534,332,21-10-2023,2,Mobile App,805,1610
90,2774,346,30-06-2022,1,Web,1429,1429
91,4282,413,22-02-2022,2,Store,1359,2718
92,3246,123,29-02-2024,2,Web,1670,3340
93,4769,252,20-05-2024,1,Store,3109,3109
94,1001,320,29-12-2024,2,Store,3560,7120
95,3835,398,15-02-2022,1,Store,1545,1545
96,4007,337,10-02-2024,1,Store,2504,2504
97,4779,158,05-05-2022,2,Mobile App,1189,2378
98,1719,327,14-06-2024,2,Store,3380,6760
99,3831,149,26-09-2023,1,Web,3620,3620
100,3182,65,04-02-2023,1,Mobile App,3764,3764
101,2883,369,20-01-2024,1,Mobile App,2464,2464
102,999,358,15-07-2023,3,Mobile App,1943,5829
103,285,4,21-07-2022,2,Mobile App,1890,3780
104,421,174,06-01-2023,3,Web,1704,5112
105,2161,136,28-07-2023,1,Store,1829,1829
106,3066,402,25-10-2023,3,Web,4189,12567
107,2276,244,12-11-2023,1,Store,2915,2915
108,1495,60,03-02-2023,3,Mobile App,1281,3843
109,3885,45,20-03-2022,3,Mobile App,3170,9510
110,4624,72,01-01-2023,2,Mobile App,1465,2930
111,2544,95,18-12-2023,2,Mobile App,3849,7698
112,4127,31,24-07-2023,3,Store,4113,12339
113,4258,156,21-07-2022,1,Mobile App,4083,4083
114,1842,376,09-11-2023,2,Store,4517,9034
115,4801,240,12-02-2022,3,Mobile App,529,1587
116,722,64,06-10-2023,1,Web,1311,1311
117,1402,421,21-08-2024,2,Mobile App,4871,9742
118,446,323,09-08-2024,3,Store,2773,8319
119,2792,109,08-10-2022,1,Store,3187,3187
120,4523,463,02-05-2023,1,Web,4286,4286
121,3768,68,02-06-2023,3,Store,4161,12483
122,2552,35,24-11-2022,1,Web,2768,2768
123,1968,251,01-10-2023,3,Mobile App,1145,3435
124,3889,354,09-11-2022,1,Mobile App,3509,3509
125,4817,36,20-04-2022,3,Mobile App,3687,11061
126,2732,441,13-02-2024,2,Store,1247,2494
127,2630,454,12-01-2024,1,Mobile App,3017,3017
128,1965,132,05-07-2024,3,Mobile App,2425,7275
129,1058,305,16-11-2022,3,Mobile App,848,2544
130,4832,222,03-07-2024,1,Mobile App,3127,3127
131,758,167,31-01-2023,2,Mobile App,2596,5192
132,1796,274,07-02-2022,3,Store,4707,14121
133,1644,60,08-11-2024,2,Store,1281,2562
134,4850,342,27-04-2024,1,Store,979,979
135,24,394,03-10-2023,2,Store,4301,8602
136,1240,113,26-06-2024,1,Mobile App,4957,4957
137,4151,221,14-06-2024,3,Store,1123,3369
138,3098,279,06-09-2023,2,Web,1472,2944
